Plakaty ,,,,,,,,,
Ilość (szt),A4 170g kreda 130/170,A3 170g kreda 130/170,A4 200g kreda 200,A3 200g kreda 200,,,,,
1–10 m²,50,,,,,,,,
11 m² i więcej,42,,,,,,,,
* Wlepki cięte na ARKUSZE – sztuki + 2 zł / m²,,,,,,,,,
* Wlepki cięte na POJEDYNCZE sztuki + 10 zł / m²,,,,,,,,,
Folia Biała / Transparentna – materiał,,,,,,,,,
Zakres ilości [m²],Cena [zł / m²],,,,,,,,
1–5 m²,54,,,,,,,,
6–25 m²,50,,,,,,,,
26–50 m²,46,,,,,,,,
51 m² i więcej,42,,,,,,,,
"SOLWENT – plakaty, papier 150 g półmat",,,,,,,,,
Zakres ilości [m²],Cena [zł / m²],,,,,,,,
Zakres ilości [m²],Cena [zł / m²],,,,,,,,
1–3 m²,65,,,,,,,,
4–9 m²,60,,,,,,,,
10–20 m²,55,,,,,,,,
21–40 m²,50,,,,,,,,
41 m² i więcej,42,,,,,,,,
"SOLWENT – plakaty, papier 115 g matowy",,,,,,,,,
Zakres ilości [m²],Cena [zł / m²],,,,,,,,
1–3 m²,45,,,,,,,,
4–19 m²,40,,,,,,,,
20 m² i więcej,35,,,,,,,,
"SOLWENT – plakaty, papier 200 g połysk",,,,,,,,,
Zakres ilości [m²],Cena [zł / m²],,,,,,,,
1–3 m²,70,,,,,,,,
4–9 m²,65,,,,,,,,
10–20 m²,59,,,,,,,,
21–40 m²,53,,,,,,,,
41 m² i więcej,45,,,,,,,,
"SOLWENT – plakaty, papier BLOCKOUT 200 g satyna",,,,,,,,,
Zakres ilości [m²],Cena [zł / m²],,,,,,,,
1–3 m²,80,,,,,,,,
4–9 m²,75,,,,,,,,
10–20 m²,70,,,,,,,,
21–40 m²,65,,,,,,,,
41 m² i więcej,60,,,,,,,,
Canvas – płótno z oprawą 240 g,,,,,,,,,
Format (cm),Cena z oprawą [zł],,,,,,,,
50×30,69,,,,,,,,
50×40,78,,,,,,,,
70×50,120,,,,,,,,
100×70,210,,,,,,,,
120×80,250,,,,,,,,
niestandardowy,wycena indywidualna,,,,,,,,
Canvas – płótno bez oprawy (ramki) 240 g,,,,,,,,,
Format (cm),Cena bez oprawy [zł],,,,,,,,
50×30,32,,,,,,,,
50×40,36,,,,,,,,
70×50,63,,,,,,,,
100×70,130,,,,,,,,
120×80,172,,,,,,,,
niestandardowy,wycena indywidualna,,,,,,,,
Dodatkowe informacje:,,,,,,,,,
,,,,,,,,,
"Cena 1 m² (bez oprawy, sam wydruk): 180 zł",,,,,,,,,
"Cena oprawy na zamówienie: 0,22 zł / cmb",,,,,,,,,
Laminowanie na gorąco,,,,,,,,,
Format,do 50 szt. [zł/szt.],51–100 szt. [zł/szt.],101–200 szt. [zł/szt.],,,,,,
A3,7,6,5,,,,,,
A4,5,"4,5",4,,,,,,
A5,4,"3,5",3,,,,,,
A6,3,"2,5",2,,,,,,
Bindowanie – plastik (listwa zatrzaskowa / spirala plastik),,,,,,,,,
Ilość kartek,do 20 kartek – listwa/spirala [zł],21–100 kartek [zł],powyżej 100 kartek [zł],,,,,,
1–50 szt.,"7,00 / 6,00",5,4,,,,,,
51–100 szt.,9,8,7,,,,,,
101–200 szt.,13,12,11,,,,,,
Bindowanie – metal (spirala metalowa),,,,,,,,,
Ilość kartek,do 40 kartek [zł],do 80 kartek [zł],do 120 kartek [zł],,,,,,
1–50 szt.,11,13,15,,,,,,
51–100 szt.,10,11,13,,,,,,
Druk / ksero czarno-biały,,,,,,,,,
Nakład,A4,A3,,,,,,,
do 5 str.,"0,90zł","1,70zł",,,,,,,
6–20 str.,"0,60zł","1,10zł",,,,,,,
21–100 str.,"0,35zł","0,70zł",,,,,,,
101–500 str.,"0,30zł","0,60zł",,,,,,,
500–999 str.,"0,23zł","0,45zł",,,,,,,
1000–4999 str.,"0,19zł","0,33zł",,,,,,,
4999–9999 str.,"0,15zł",—,,,,,,,
Druk / ksero kolorowy,,,,,,,,,
Nakład,A4,A3,,,,,,,
1–10 str.,"2,40zł","4,80zł",,,,,,,
11–40 str.,"2,20zł","4,20zł",,,,,,,
41–100 str.,"2,00zł","3,80zł",,,,,,,
101–250 str.,"1,80zł","3,00zł",,,,,,,
251–500 str.,"1,60zł","2,50zł",,,,,,,
501–999 str.,"1,40zł","1,90zł",,,,,,,
1000–4999 str.,"1,10zł",—,,,,,,,
Dopłaty,,,,,,,,,
,,,,,,,,,
Kopie z szyby: +20%,,,,,,,,,
,,,,,,,,,
Zadruk powyżej 25% powierzchni: +50% ceny podstawowej,,,,,,,,,
📠 Skanowanie A4/A3,,,,,,,,,
Automatyczne,,,,,,,,,
Zakres,Cena,,,,,,,,
1–9 str.,"1,00zł",,,,,,,,
10–49 str.,"0,50zł",,,,,,,,
50–99 str.,"0,40zł",,,,,,,,
od 100 str.,"0,25zł",,,,,,,,
Ręczne (z szyby),,,,,,,,,
Zakres,Cena,,,,,,,,
